Level,Date and Time,Source,Event ID,Task Category
Information,2021-04-12 5:41:14 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,2021-04-12 5:38:29 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,2021-04-12 1:50:21 PM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.335.717.0)
Information,2021-04-12 1:50:13 PM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.335.717.0)
Information,2021-04-12 1:50:13 PM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,2021-04-12 12:40:53 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,2021-04-12 12:38:29 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,2021-04-12 12:00:00 PM,EventLog,6013,None,The system uptime is 15812 seconds.
Information,2021-04-12 10:58:07 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,2021-04-12 10:56:03 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,2021-04-12 10:55:57 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2021‎-‎04‎-‎12T16:55:57.105706800Z from ‎2021‎-‎04‎-‎12T16:55:57.105436400Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume1\Windows\System32\svchost.exe' (PID 13952)."
Information,2021-04-12 10:55:57 AM,Microsoft-Windows-Time-Service,35,None,"The time service is now synchronizing the system time with the time source time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->13.86.101.172:123) with reference id 2892322317. Current local stratum number is 4."
Information,2021-04-12 10:55:42 AM,Microsoft-Windows-Time-Service,37,None,"The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->13.86.101.172:123)."
Information,2021-04-12 10:55:41 AM,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Information,2021-04-12 10:55:40 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Provisioning\Microsoft-Desktop-Provisioning-Sequence.dat was cleared updating 0 keys and creating 0 modified pages.
Error,2021-04-12 8:30:43 AM,Microsoft-Windows-DistributedCOM,10010,None,The server Microsoft.SkypeApp_15.68.96.0_x86__kzf8qxf38zg5c!App.AppXtwmqn4em5r5dpafgj4t4yyxgjfe0hr50.mca did not register with DCOM within the required timeout.
Error,2021-04-12 8:06:39 AM,Microsoft-Windows-DistributedCOM,10010,None,The server Microsoft.SkypeApp_15.68.96.0_x86__kzf8qxf38zg5c!App.AppXtwmqn4em5r5dpafgj4t4yyxgjfe0hr50.mca did not register with DCOM within the required timeout.
Information,2021-04-12 7:46:55 AM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.335.693.0)
Information,2021-04-12 7:46:47 AM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.335.693.0)
Information,2021-04-12 7:46:47 AM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
